"first","second","n"
"order","to",750
"much","as",749
"close","to",745
"sounds","like",730
"now","and",724
"welcome","to",724
"amount","of",721
"said","the",720
"great","day",718
"less","than",718
"life","and",715
"between","the",714
"next","to",714
"piece","of",714
"come","on",713
"long","time",711
"sense","of",710
"until","the",710
"go","back",709
"today","and",709
"people","in",704
"an","hour",699
"lets","go",695
"wont","be",690
"coming","to",688
"hope","to",685
"tonight","at",681
"much","of",679
"comes","to",677
"thats","the",675
"here","i",674
"long","as",674
"next","time",674
"even","more",666
"nice","to",666
"us","and",664
"an","amazing",663
"one","thing",661
"use","the",661
"believe","that",657
"let","us",657
"his","own",656
"way","i",656
"work","and",656
"easy","to",654
"said","that",654
"give","me",653
"yeah","i",651
"more","of",650
"over","and",650
"work","on",650
"thing","i",649
"come","back",647
"why","do",647
"after","all",644
"friends","and",641
"your","favorite",641
"home","and",636
"way","of",636
"may","not",635
"which","was",635
"follow","back",633
"lack","of",633
"wake","up",631
"came","to",630
"some","people",629
"down","and",628
"since","the",628
"continue","to",626
"go","on",626
"something","to",625
"didnt","know",622
"thought","i",619
"please","follow",617
"then","the",617
"pick","up",613
"proud","of",611
"am","a",610
"glad","you",608
"something","that",608
"thought","it",608
"needed","to",607
"watch","the",606
"things","i",605
"type","of",603
"starting","to",599
"along","the",598
"say","i",597
"read","the",596
"great","to",595
"few","days",594
"her","to",594
"than","i",593
"give","you",592
"glad","to",591
"shout","out",591
"too","many",590
"use","of",590
"while","the",590
"these","are",587
"too","i",586
"were","not",586
"pretty","much",585
"said","i",585
"find","the",582
"new","year",582
"many","people",581
"why","is",581
"same","time",580
"only","a",579
"little","bit",578
"took","a",571
"become","a",570
"youre","not",569
"look","forward",566
"might","have",566
"place","to",565
"over","a",562
"focus","on",561
"list","of",561
"take","it",561
"join","us",559
"year","old",559
"year","i",558
"didnt","have",557
"figure","out",557
"opportunity","to",556
"well","be",555
"want","a",554
"still","have",551
"cant","believe",549
"happy","mothers",549
"trip","to",549
"idea","of",548
"ability","to",547
"bunch","of",547
"these","days",547
"united","states",546
"into","my",541
"thanks","so",541
"more","about",539
"were","a",539
"whats","the",539
"were","the",536
"middle","of",535
"excited","for",534
"happened","to",534
"things","are",534
"willing","to",534
"end","up",533
"woke","up",531
"oh","my",530
"congrats","to",529
"family","and",529
"behind","the",528
"let","the",528
"help","me",527
"set","up",527
"work","with",527
"care","of",526
"check","it",525
"deal","with",523
"youre","a",523
"years","of",522
"enjoy","the",521
"getting","ready",520
"ice","cream",519
"version","of",519
"very","much",519
"soon","as",516
"any","other",515
"fan","of",515
"week","i",513
"give","up",512
"keep","it",511
"year","and",511
"group","of",509
"quite","a",509
"until","i",509
"whats","up",508
"put","it",507
"theres","no",507
"again","i",504
"ive","never",504
"could","not",503
"plenty","of",503
"thing","to",503
"best","of",502
"call","me",502
"must","have",502
"does","it",501
"sure","you",501
"night","i",500
"before","you",498
"other","than",498
"talking","to",498
"haha","i",497
"came","out",496
"once","again",493
"someone","who",493
"getting","a",491
"our","new",491
"believe","in",488
"sometimes","i",488
"ended","up",487
"wonder","if",487
"making","a",484
"our","own",483
"anyone","else",481
"her","and",481
"saw","the",481
"using","the",481
"been","in",479
"coming","up",479
"few","weeks",479
"food","and",478
"say","it",478
"ive","got",477
"then","you",477
"great","time",476
"help","you",473
"gave","me",472
"place","in",472
"hit","the",470
"through","a",470
"some","time",468
"within","the",467
"filled","with",466
"oh","and",466
"thing","that",466
"stay","tuned",465
"found","a",463
"stop","by",462
"half","of",461
"nothing","to",461
"point","of",461
"keep","the",458
"picked","up",457
"seems","like",457
"pretty","good",455
"excited","about",454
"an","awesome",453
"id","like",453
"state","of",452
"havent","been",451
"should","i",450
"san","diego",449
"him","in",448
"week","and",447
"also","a",446
"man","i",446
"something","i",446
"tend","to",445
"right","to",444
"throughout","the",444
"found","out",442
"moment","when",442
"life","i",441
"living","in",441
"best","friend",439
"two","of",439
"night","and",438
"very","good",437
"tired","of",436
"both","of",435
"fun","and",433
"try","and",431
"again","and",430
"pretty","sure",430
"us","a",430
"sure","i",429
"doing","a",427
"god","is",427
"create","a",426
"put","on",425
"never","been",423
"put","the",422
"saw","a",422
"thought","of",421
"days","of",420
"really","good",420
"cant","be",418
"story","of",416
"years","and",416
"feel","the",415
"those","of",415
"been","on",414
"call","it",414
"tonight","i",414
"done","with",412
"taking","a",412
"same","thing",411
"start","to",411
"each","of",410
"many","times",410
"worth","it",410
"use","a",407
"house","and",406
"known","as",406
"managed","to",406
"few","years",405
"other","people",404
"without","a",404
"keep","up",403
"sorry","i",403
"having","to",402
"important","to",402
"matter","what",402
"none","of",402
"our","lives",402
"two","years",402
"pair","of",400
"bout","to",399
"form","of",398
"hope","that",398
"makes","you",398
"someone","else",398
"name","is",397
"only","to",397
"picture","of",397
"free","to",396
"ago","i",395
"doing","the",394
"working","with",391
"access","to",390
"add","the",390
"everyone","is",390
"makes","it",390
"read","it",390
"didnt","get",389
"birthday","to",388
"by","my",388
"ways","to",388
"buy","a",387
"likely","to",387
"man","who",387
"seemed","to",387
"feels","like",385
"forget","to",385
"off","and",385
"thinking","of",384
